Tag,Text
invoice,". —sosat anycompany manufacturing date may 07, 2021 in invoice #288863202 cc . customer id 3858 4180 kuvalis circles due date may 22, 2021 zachariahville ri 56708 phone (858) 5550101 bill to kwaku mensah 3429 koelpin curve, east crista oklahoma 32172 kwaku.mensahexample.com description amount mainstays tall storage cabinet, 4 $85.26 total $85.26 other comments total payment due 30 days ifpaying check, include invoice number check questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
address proof,address proof letter for employe
bank statement,"page 1 5 03/02/2022 dc — 1090001004290 ges anycompany financial services group inc. 999999999 16769 3 c001 11 s 66002 nikki wolf 9231 stuart springs, crooksshire, ok 92115 your consolidated statement contact roraanaro ea do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes . minute gel started today . com/u . example bank, member fdic . to learn, visit example.com/abcxyz 2020 anycompany financial services group inc. ifyou traveling usa concems accessing account traveling, contact branch banker call 858lll0101 summary accounts account number 44 balance (s) _ details on 6,881.58 page 1 $668158 account name 00 checking 00724 “ total checking money market savings accou _ 724447554436 checking money market savings accounts checking 007244475544 account summary $16,509.78 your previous . checks, average posted balance statement cycle $4,873.52 checks date check #amount ($) check #amount (s) 05726 1401 ~~ 404.39 0 — ~ indicates skip total checks = $701.39 = page 1 1 0000667"
invoice,"anycompany retail services date aug 29, 2018 llc invoice #145132479 customer id 6615 apt . 619 9266 purdy radial due date sep 13, 2018 east euna sd 820361253 phone (858) 5550101 bill to arnav desai 5389 kristian garden, north jody connecticut 41820 arnav.desaiexample.com description amount the chork chopsticks fork $25.17 bodum milk frother, latteo milk $36.69 yellow beeswax bees wax organic $12.29 alps mountaineering lynx 1person tent $140.5 total $214.65 other comments total payment due 30 days ifpaying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
bank statement,"231 valley farms street geareo ov templatelab first santa monica, ca 90403 statement of account citizens _ fitstcitizensbankdomain.com bank account number 111234567890 statement date mm/dd/yyyy page 1 1 period covered mm/dd/yyyy mm/dd/yyyy john smith opening balance 175,800.00 2450 courage st, ste 108 total credit amount 510,000.00 brownsville, tx 78521 total debit amount 94,000.00 closing balance 591,800.00 <branch name account type — current account number transactions 8 transactions date description credit debit balance mm/dd/yyyy payment credit card 5,400.00 170,400.00 mm/dd/yyyy payment insurance 3,000.00 167,400.00 mm/dd/yyyy account transfer in 500,000.00 667,400.00 mm/dd/yyyy cheque deposit 10,000.00 677,400.00 mm/dd/yyyy payment electricity 1,500.00 675,900.00 mm/dd/yyyy payment water utility 600.00 675,300.00 mm/dd/yyyy payment car loan 3,500.00 671,800.00 mm/dd/yyyy account transfer out 80,000.00 591,800.00 end transactions templatelab.com"
receipt,"the aiml store 1234 somewhere . rd poway, california 92129 02/13/2022 1228 am ‘ hu hiars unleash 98381 82381029981~230981 cabot corner desk harvest 1 $903.3 educational insights ei1910 1 $18.17 educational . insights decorative metal wall sconce 1 $64.16 subtotal $375.68 t = ga tax 7 . 7500 403 . 235 $28 . 178 total $408, 825 6060 diner charge $403 . $95 aid 100008 75601066 diner credit auth code 1s some promotions may reduce the refund value of (tems oer ioiiio iiit a aia tok ir, we feedback! take quick survey enter chance to win $250 store gift card . go myfakestore . com/win * s winners monthly * soic ioda iir az toi cashier john doe store 123 pos 008 transact ion 2629 sunday, february 18, 2022 1228 am"
receipt,"the aiml store 1234 somewhere rd poway, california 92129 02/13/2022 12228 am disney frozen elsa 2014 1 $15.8 christmas ganssia colorful dessert 1 20.62 series design bluedot trading submersible 1 $16.14 tea lights, ‘ subtotal $61.56 t = ca tax 7.7600 55 . 427 $3 . 867 total 905, 427 2659 . diner charge $56 . 227 aid ‘ 40000897030849 diner debit auth code (060849 sowe promotions may reduce the refund value of (tens socioroo idoi ii itn aaa iii fe feedback! take quick ‘ survey enter chance to hin $250 store gift card . go hyfakestore . com/win * 5 winners monthly * ooo i iii akira ar iori ie cashier jotn doe store 123 pos 008 transact ion2629 sunday, february 18, 2022 1228 am"
receipt,"the aiml store 1284 somewhere rd poway, california 92129 2/18/2022 1228 am / naomi home venice.portable 1 $84.3 . recl inire 3.7v lipo battery syma 1 $17.07 evertast ‘ heart rate monitor ’ 1 $34.67 automatic subtotal $196.04 t = ca tax 7 . 7500 148, 242 $10 . 208 total $148 . 243 » 5056 visa charge $146, 243 aid £0000231300965 visa debit auth code 055 some promotions may reduce the refund value of items 38rd ichooo iie ook ffe feedback! take quick survey enter . . chance to hin $280 store gift card . 60 myfakestore . com/ #* 8.wineers monthiy *! hap recoil cod ose uri ioooi cashier john doe store 123 pos 003 transact ion 2620 sunday, february 18, 2022 1228 am"
receipt,"the aiml store 1284 somewhere ro poway, california 92129 2/18/2022 1228 am ltte eld ht modern chic thank . you cards 1 27.5 galaxy note case, stylea) 84.71 . konb wild knots sausaker 1 $17.08 bears subtotal 169.24 t= ga tax 7.7500 74 . 433 b18 total 874, £23 » 8012 amex charge 974 . 433 aid 0000837609811 amex debit » auth code 69811 some . promotions may reduce the refund valle of tems s2o ho rregrrcerorcidicodoed era we feedback! take quick survey enter chance to hin $250 store gift card . 0 hyfekestore . com/win * 8 winners ’ monthiy * oooo ocia iiooioide iaa iii cashier john doe store .123 pos 003 transact ion2529 sunday, february 13, 2022 1228 aw"
invoice,"anycompany wholesales date jun 08, 2018 apt . 634 3338 marni neck invoice #242660099 port andre la 094852724 customer id 5814 phone (858) 5550101 due date jun 23, 2018 bill to mateo jackson 7601 royce track, ferminaport north carolina 689909025 mateo.jacksonexample.com description amount bestek 150w 2socket cigarette lighter $21.14 huffy disney frozen preschool 3wheel $87.08 total $108.22 other comments * total payment due 30 days ifpaying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
bank statement,"page 1o0f5 03/02/2022 de . 1090001004290 gs) anycompany holdings llc 999999999 16769 3 c001 11 s 66 002 zhang wei 24602 anderson bypass, eddyville, nh 02522 your consolidated statement contact 858) lll0101 for 03/02/2022 e4 exempte.com vn sss) ss60101 do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today example.com/u . example bank, member fdic . to learn, visit example.com/abcxyz . 2020 anycompany holdings llc if traveling usa concerns accessing account traveling, contact branch banker call 858lll0101 summary accounts account number 007212822392 total checking money ‘ market savings accounts ~~ $13,921.83 savings 721282239236 _ 18,006.58 page 3 total savings accounts checking money market savings accounts ™ checking 007212822392 account summary $13,921.83 average posted balance statement cycle $10,835.02 checks date check #amount (8) date check #amount ($) date check #amount ($) 0526 14 50.00 0605 * 101.39 06/09 985 415i ‘ total checks * indicates skip sequential check numbers item mw page 1 1 0000667"
receipt,"the aiml store 1234 somewhere rd poway, california 92129 02/19/2022 1228 am loa uecuoieaae yf ruass e 998162381029383~230981 kenney 5/80] chelsea ball 1 3.90 decorative; sbs 46 protective cream 1 $16.34 depth side side 1 $17.2 subtotal $7.53 t = ga tax 7.7500 61 . 845 $4315 total $61.86 x025 amex charge $61 . 5 aid anponge02b620 amex credit auth code 066620 some . promotions may reduce the ‘ refund valle of (tehs aoc rcia ioo toit on, we feedback! 1 jake quick survey enter . chance to win $250 store gift card . go myfekestore . com/win * 5 winners monthiy * ok iiia iaai ioi ioi 1 cashier john doe store 123 pos 008 traneact ion2629 sunday, february 12, 2022 1228 am"
tax return,"pe pee eae ee pana {) internal revenue service yar went of tetsu tax return transcript poe ersed ndings s830) 08 the items reflect anount ae shown return ur), amount adsusted (ec), $f applicable, ‘ they show subsequent activity account incom"
business proof,"soe satire eat pa 5s private limited * he * 3 * ds x 3 he xe he as ae he 3 3k ureq 1 oie wat orem urzzoa0lza10fte212000 20102011 wate 2 fom 1086 (1088 1) ome weet ate pah fons ine seen gran reer s sate ooh at ome form 1 certificate incorporation is private limited given hand delhi thirty first day december two x incorporated companies act, 3266 (no . 1958) company =2011 trousand ten ba vavrantany beef fee ere erie ae eae te ete he hehe fei cord avaiabein reis companies offs eri"
bank statement,"page 10f5 03/02/2022 de 1090001004290 999999999 16769 3c 001 11 s 66002 maria garcia 2803 kovacek lane, tawnamouth, ut 250693565 your consolidated statement for 03/02/2022 contact example.com ey anycompany bank (858) lll0101 858) 5550101 do digital banking bank leave home . check account balances, make transfers, enrolled digital banking, lakes minute gel started today example.com/u example bank, member fdic . to learn, visit example.com/abcxyz 2020 anycompany bank . pay bills deposit checks mobile device . if! f traveling usa concems accessing account traveling, contact branch banker call 858lll0101 summary accounts account number balance ($) account name . me 007688270534 6,282.21 checking avings accounts ~~ $6,282.27 savings 768827053136 9,690.30 total savings accounts $9,690.30 checking money market savings accounts checking 007688270531 account summary j eposits, credits interest _ balance 06/17/2020 = $6,282.21 average posted balance statement cycle check #amount ($) date check #. — 7a “ indicates skip sequential check numbers item 0000667 _.details on page 1 3 amount (8) 101.39 date check o6/09 985026 total checks — $17,440.72 amount ($) = page 1 1"
address proof,"state of south carolina _) affidavit of residence county of greenville) personally appeared,, primary resident residing oo, street address city zip code solemnly swear; (parent/guardian) (children) are lawfully residing resident address stated . i understand found i willfully knowingly sworn false information affidavit, pursuant section 16930 south carolina code laws, i found guilty felony, conviction fined discretion court imprisoned years, . (signature) sworn day ., 20 (l.s .) notary public south carolina my commission expires affidavits updated yearly . 7/31/2018"
business proof,"government of india istry of corporate affairs central registration centre certificate incorporation pursuant subsection (2) section 7 companies act, 2013 (18 2013) rule 18 companies (incorporation) rules, 2014] certify long way life global mart private limited incorporated twenty day may two thousand eighteen companies act, 2013 (18 2013) company limited shares . ‘ the corporate identity number company . us2609rj2018ptc061371 . ‘ the permanent account number (pan) company aadcl6227c ‘ the tax deduction collection account number (tan) company jdhlo2ss4g"" given hand manesar twenty day may two thousand eighteen digital signature certificate ‘ mr mukesh kumar soni deputy registrar of companies for behalf jurisdictional registrar companies registrar companies central registration centre disclaimer this certificate evidences incorporation company basis documents declarations applicant (). this certificate license permission conduct business solicit deposits funds public, permission sector regulator required, registration status details ‘ company verified www.mea, gov.in “ mailing address record available registrar companies office long way life global mart private limited, ‘ shop no.02, dhani road, ramdev colony,, madangans, kishangarh, ajmer, rajasthan, india, 305801 ns * issued income tax depart"
receipt,"the aiml store 1234 somewhere rd poway, california 92129 02/13/2022 1228 am ecumneloele eae rout '9938162381029381~230981 invicta men's 8932 pro diver 1 $76.25 $7 edge battery case, 1 $28.51 ialegant blue argyle knit dog sweater $22.88 subtotal $128.64 t = ga tax 7 . 7500 188 . 268 $9 . 648 total $138 . 28 . 38101 amex charbe 1% . 228 aid a0000678372 118 . awex debit auth code 62118 some promotions may reduce the refund value of itexs sor iideni iidc ite iii he feedback! take quick survey enter chance to win $250 store gift card . go hyfakestore . com/w * 5 winners monthly * 20k ioi ik iai rii it ioi ie cashier jonn doe store 123 pos 003 transact ion2529 sunday, february 13, 2022 1228 am"
invoice,"anycompany hardwares llc pate feb21,2021_— 28405 kuvalis mission invoice #533884156 millsmouth sd 95703 customer id 4575 phone (858) 5550101 due date mar 08, 2021 bill to marcia oliveira 7534 reginald freeway, gretchenfort california 587973956 marcia.oliveiraexample.com description amount tcg shiny rayquazaex box card $34.29 melissa & doug reusable sticker $12.89 total $47.18 other comments total payment due 30 days ifpaying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
receipt,"the aiml store / 1234 somewhere ro poway, california 92129 02/13/2022 1228 am average laat _9998102381629981~230361 kinivo . bth240 bluetooth] $48.08 stereo headshone; ead rg costumes ‘ funsies ’ ariel = 1 $47.99 . alligator, bees paw patrol, to the rescue 1 $28 . 19 subtotal $17.28 t =ga tax 7 . 7500 128 . 054 $8.75 ey total $128 . 054 q314 anex . charge 8186, 064; md ~ s000088575015; amex credit auth ode 65015 some promotions may reduce the refund value of (tems » janoiacsacicoarok oenogbioa aboaoe we feedback! take quick survey enter chance to win $250 store gift card . goto myfakestore . com/win 7; “ 5 winners monthly * cachier john doe store 123 pos o03 transaction 2520 sunday, february 18, 2022 1228"
receipt,"the aiml store 1234 somewhere ro poway, california 92129 e2/13/2022 1228 am ederal aea; . hani fton beach 490804 single 1 $89.19 “ serve oe iphone.6 nonstip protective = 1 ls cae oe clarks men's stireon hi 1 $118.29 ina » subtotal 2 $261.8 “ t= ca tax 7 . 7500 281.575 $18.5 total; 881.575 8528 visa charge $881.57 aid 00004 14054468 visa credit auth code bates some promotions may reduce the pefud value of tes 290000 boge iooot iidc . we feedbeck! take quick survey enter chance to hin $250 store gift card . go; ‘ wyfakestore . com/win; * winners . monthiy * jochen hanna pticgos pap cnoges ect cashier john doe store 123 pos 003 . trangact ion 2529 wid sunday, february . 18, 2022 1228 am"
invoice,"anycompany hardware pate dec 09, 2020 invoice #968357476 supplies customer 1d 4877 161 raynor overpass due date dec 24, 2020 east tamfort wi 18913 phone (858) 5550101 bill to liu jie 28285 maggie club, almetaton texas 58102 liu jieexample.com description amount future diary playing cards $18.34 headphones, sound intone 165 headphones $35.39 simple deluxe clamp lamp light $19.08 cadbury roses tub 660g net $55.08 fujifilm instax mini instant film $19.16 total $147.05 other comments total payment due 30 days if paying check, include invoice number check questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
bank statement,"j first bank of wiki 1425 james st, po box 4000 chequing account statement victoria bc v8x 3x4 18005555555 page 1 1 john jones statement period account no . {ecs bundas stw apt 27 20021009 6 20001108 00005 . — toronto on m6k 1v2 1234567 poste description tet withdrawals deposits balance 20031008 previous balance 0.55 20031014 payroll deposit hotel 694.81 695.36 20031014 web bill payment mastercard 9685 200.00 495.36 20031016 atm withdrawal interac 3990 21.25 47a 20031016 fees interac 1.50 472.61 20031020 interac purchase electronics, 1975 2.99 469.62 20031021 web bill payment amex 3314 300.00 169.62 20031022 atm withdrawal first bank 0064 100.00 69.62 20031023 interac purchase supermarket 1559 29.08 40.54 20031024 interac refund electronics 1975 2.99 43.53 20031027 telephone bill payment visa 2475 677 36.76 20031028 payroll deposit hotel 694.81 731.57 20031030 web funds transfer from savings 2620 50.00 781.57 20031103 preauth . payment insurance 33.55 748.02 20031103 cheque no . 409 100.00 648.02 20031106 mortgage payment 710.49 62.47 20031107 fees overdraft 5.00 “ 67.47 20031108 fees monthly 5.00 72.47 ""totals 1,515.63 1,442.61"
invoice,"anycompany wholesales suite 901 42718 wolff glens new victorfurt in 327071819 phone (858) 5550101 bill to arnav desai 229 bergnaum parks, katinatown kentucky 718447628 arnav.desaiexample.com date sep 19, 2020 invoice #814018512 customer id 3692 due date oct 04, 2020 description amount winsome wood end table/night stand $76.48 decorative metal wall sconce $54.16 blue evil eye protection hanging $26.79 netgear smart wifi router $138.71 total $296.14 other comments total payment due 30 days if paying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
bank statement,"page 10f5 03/02/2022 dc 1090001004290) anycompany bank 999999999 16769 3 c 001 11's 66002 maria garcia 31401 . keebler causeway, port hildafort, vt 78640 your consolidated statement contact for 03/02/2022 fey cwerpiccom fey g88) bb ovo! do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks.with mobile device . if enrolled digital banking, lakes minute gel started today example.com/u . example bank, member fdic . to learn, visit example.com/abcxyz . 2020 anycompany bank . if traveling usa concerns accessing account traveling, contact branch banker call 858lll0101 summary accounts \ccount number account name checking details on ~~ 905761949388 ""5,011.68. page 1 total checking money market savings accounts . “ $5,011.68 savings 876194938836 == 14,297.93 ——page3 total savings accounts $14,297.93 checking money market savings accounts checking 005761949388 account summary deposits, credits interest . your balance 06/17/2020 average posted balance statement cycle $16,436.48 checks total checks = page 1 1 0000667"
bank statement,"page 10f5 — 03/02/2022 dc . 1090001004290 gig anycompany finance ltd 999999999 16769 . 3 c 001.11 s 66 002 wang xiulan 756 jacobi glen, south suntown, ne 283471280 your consolidated statement contact for 03/02/2022 bw eerriccom aag) ete ota do digital banki bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today example.com/u . example bank, member fdic . to learn, visit example.com/abcxy z . 2020 anycompany finance ltd . if traveling usa concerns accessing account traveling, contact branch banker call 858lll0101 summary accounts account na oe account number balance etails on checking 002211301854 14,623.54 page 1 ‘ total checking money market savings accounts . $14,623.64 = savings 221130185136 page 3 total savings accounts eb checking money market savings accounts checking 002211301851 account summary posits, credits andinterest . + 8,7 ur balance as.of 06/17/2020 = $14,623.54 average posted balance statement cycle $10,293.88 check #amount (s) date check #amount ($) date check #amount ($) 14 se 0 06/0596 z _101 ‘ 06/0! 6 {total checks page 1 1 0000667"
bank statement,"page . 1 5 03/02/2022 1090001004290 gis anycompany credit union 999999999 16769 3 c001 11 s 66 002 carlos salazar 5946 bayer station, lake antony, ia 78627 66 89 your consolidated statement contact for 03/02/2022 example.com as lllo101 do digital banking bank leave home . check account balances . make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today . com/u . example bank, member fdic to learn, visit example.com/abcxyz 2020 anycompany credit union traveling usa concerns accessing account traveling, contact branch banker or.call 858lll0104 summary accounts account name account number __ details on checking 0072114 page 1 total checking money market savings accounts $17,481.75 721198491436 17,503.15 _ page 3 ~~ $47,508.15 total checking money market savings accounts checking 007211984914 account summary your previous balan checks _ $17,481.75 average posted balance statement cycle $11,331.39 hecks date check #amount ($8) date check #amount (8) date check #amount (8) 05726 —_] 605 j 6/09 98502 bers item total checks “ indicates skip sequential check = page 1 1 0000667"
salary slip,"company name address company pay slip feb22 employee name l total working days 30 employee id llop days 0 designation l paid days 30 department, bank name date joining l bank a/c no gross salary 20000 uan l earnings l deductions basic salary 89000 epf 31080 house rent allowances 3600 health insurance/esi_ 2150 (conveyance allowances 1600 professional tax 0 medical allowances 21250 special allowances 24550 gross salary 20000 total deductions 21230 net pay% 18770 amount words, employer signature employee signatur"
invoice,"anycompany inc . date jun 47, 2019 suite 771 120 johns forge invoice #25376113k north lestertown ma 21419 customer id 3537 phone (858) 5550101 due date jul 02, 2019 bill to nikhil jayashankar 1334 roberto inlet, hoegerhaven indiana 675243166 nikhil . jayashankarexample.com description amount sparkworks cat plant stand (bronze) $42.22 total $42.22 other comments total payment due 30 days if paying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
address proof,"affidavit residence (this affidavit completed executed parent legal guardian order establish meet statutory requirements legal residence 2™ congressional district state maryland) i, lawful age resident 2, county, maryland, oath penalties perjury, depose that i parent entitled custody, legal guardian, minor, applied honorable c.a . dutch ruppersberger, member united states congress, consideration appointee academy; custody son/daughter, legal custody legal ward lives; legal residence that i resided months/years, i time time sojourned parts, continuous, firm unwavering intention return reside permanently . that evidence thereof, i depose (a) my domicile (b) i paid real estate taxes county, maryland, years (c) lam registered voter county, maryland, years (signature parent guardian) subscribed sworn day, 200 notary publ"
invoice,"anycompany dealers date nov 08, 2020 suite 460 76330 un roads invoice #339826234 north velvafurt va 58409 customer id 395 phone (858) 5550101 due date nov 23, 2020 bill to sofia martinez 5417 yost island, south willhaven utah 515707415 sofia.martinezexample.com description amount grandma lucyfs freezedried grainfree pet $90.65 stabilo woody 3in1 colored pencils, $19.31 chicozy life cotton linen square $23.94 molla puro cordless glass electric $85.1 total $219.00 other comments total payment due 30 days ifpaying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
bank statement,"page 10f5 03/02/2022 1090001004290 gis anycompany credit union 999999999 16769 3 c001 11 s 66 002 saanvi sarkar 7119 edie streets, north angel, wv 1 41157280 your consolidated statement contact roraanaro ea do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today . com/u . example bank, member fdic . to learn, visit example.com/abcxyz 2020 anycompany credit union ifyou traveling usa concerns accessing account traveling, contact branch banker call 858lll0101 summary accounts accountname account number ____ balance (6) details on checking 00812011 21 14,314.95 page1 total checking money market savings accounts $14,314.95 — _ . 812011201936 ee 11,196.30 page 3 to accounts ry a . bb checking money market savings accounts = checking 008120112019 account summary your previous b f 03/02/2022 . checks deposits, credit jn _ ~~ 8,006.79 your balance 06/17/2020 = $14,314.95 average posted balance statement cycle $14,202.73 checks date check #amount (s) date check #amount (8) date __ check #amount (8) 1401 50.00 a6ios—9as026 180.00 * indicates skip sequential chec bers item total checks = $701.39 = page 1 1 0000667"
receipt,"the aiml store 1234 somewhere rd poway, california 92129 02/13/2022 1228 am elumedegaem alent 98381023810293681~230981, huawei . fit snart fitness ll 31.64 watch subtotal $16.64 t = ca tax 7 . 7500 156 . 663 $10 . 923 total $156 . 563 xo421 visa charge $156 . 563 aid 40000625788977 visa credit auth code 68977 ‘ some promotions may . reduce the refund value of items ‘ 211 iogoi ido ioi we feedback! take quick survey enter chance to win $250 store gift card . go myfakestore . com/w) * 5 winners monthl * os roiceik idoi iiia ok aoe cashier john doe store 123 pos 003 . transact ion2629 sunday, february 18, 2022 1228 am"
bank statement,"page 10f5 03/02/2022 dc 1090001004290 gs anycompany holdings llc 999999999 16769 3 c001 11 s 66 002 ana carolina silva 67836 renner courts, port traceyberg, ms 09293 your consolidated statement contact for 03/02/2022 * co (959) lllot0 do digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device enrolled digital banking, lakes minute gel started today example.com/u . example bank, member fdic . to learn, visit example.com/abcxy z . 2020 anycompany holdings llc ifyou traveling usa concerns accessing account traveling, contact branch banker call 858lll0104 summary accounts account number balance) _ 004159991365 10,898.24 page 1 details on total checking money market savings accounts $10,898.24 ~ savings . 7 7 415999136536 7,698.78 page 3 total savings accounts $7,698.78 (total savin 9s 2c0ut sennen san checking money market savings accounts checking 004159991365 account summary your previous bala checks deposits, credits interest 1,151 your balance 06/17/2020 = $10,898.24 average posted balance statement cycle $7,797.05 checks check #amount (s) check #amount (8) date check #amount ($) 26 __140 oe ‘ 96/05 * 965028 geo 985026 180.00 * indicates skip sequential check numbers item total checks = $701.39 page 1 1 0000667"
invoice,"—oo] anycompany llc date mar 20, 2021 9178 klocko forges invoice #505670205 katrinamouth il 48455 customer id 3045 phone (858) 5550101 due date apr 04, 2021 bill to ana carolina silva 9590 reynolds ville, herbertburgh missouri 067864642 ana.carolina silvaexample.com description amount u.s. wwii m1916 .45cal 1911 $97.43 stanley fatmax 89874 8inch curved $24.72 zuke's genuine jerky dog treats, $23.85 eboot blue shining stars soft $19.84 cree sa1904627mdfd12de26114 led 40w replacement $20.5 total $186.34 other comments total payment due 30 days if paying check, include invoice number check questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
bank statement,"page 1 5 — 03/02/2022 dc 1090001004290 gigs anycompany . llc 999999999 16769.3 c 00111 s 66 002 shirley rodriguez 8654 dickinson summit, east domingaton, nm 032486645 your consolidated statement contact for 03/02/2022 = (58) lll0101 domore digital banking bank leave home . check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today example.com/u . example bank, member fdic . to learn, visit example.com/abcxyz . 2020 anycompany llc if traveling usa concerns accessing account traveling, contact branch banker call . 858lll0101 summary accounts account name (s $) details on checking 001927027720 16,947.78 page 1 total checking money marketsavings accounts (isié 16,947.78 savings 192702772036 11,875.59 page3 total savings accounts $11,875.59 checking money market savings accounts checking 001927027720 account summary $16,947.78 average posted balance statement cycle $17,949.13 check #amount (s) date check #amount ($) check #amount ($) 1401 150.00 06 * 965025 1.39 98502 150.00 total checks — $701.39 * indicates skip sequential check numbers item m= page 1 1 0000667"
invoice,"anycompany dealers suite 207 2880 susan courts new callie sd 573744278 phone (858) 5550101 bill to arnav desai 4051 leesa crossroad, north royce nebraska 53692 arnav.desaiexample.com date jun 23, 2021 invoice #943891656 customer id 5016 due date jul 08, 2021 description amount you & me 69928 30 $30.79 gm1 new xbox one $36.63 hp sprocket portable photo printer, $159.33 samsung galaxy s5 neo g903f $356.95 total $583.70 other comments total payment due 30 days ifpaying check, include invoice number check questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
invoice,"anycompany manufacturing date dec 11, 2021 invoice #638187914 nc . 7; customer id 3641 66085 viviana springs due date dec 26, 2021 zaneborough nh 21882 phone (858) 5550101 bill to paulo santos 72921 elin manor, lake danyell arkansas 50096 paulo.santosexample.com description amount blue evil eye protection hanging $26.79 #1 friskies original loaf variety $46.61 coeur designs premium 6 inch, $31.56 coop home goods premium $78.17 set 2 swivel aluminum $549.99 total $733.12 other comments total payment due 30 days if paying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice _inquiryexample.com thank you for your business!!"
receipt,"the ainl store 1234 somewhere ro poway, california 92129 02/18/2022 1228 am au vuulreu onc su ean el 1903816258182990123098%, tripar 2% . metal display j $9.46 subtotal $0.8 t = ca tax 7 . 7500 53 . 62 $3 . 702 total 963.062 0622 diner charge $63 . 62 aid s0000208077745 . diner credit auth code 775 some promotions may reduce the refund value of items sea iiia ia tri ik iit ie we feedback! take quick survey enter chance to win $250 store gift card . go myfakestore com/win 35 winners . monthl * jock iai iii iir iori ie ait tain cashier john doe store 128 pos 003 transact ion2529 sunday, february 18, 2002 1228 an"
receipt,"‘ the aiml store 1284 somewhere ro “ poway, california 92129 lebo superheroes marvel's 1 $108.68 antman 76039 subtotal gio.68 tee ca tax 7.0 112.61 ‘ 97.800 total “ $112.51 79688 amex charge = stir aid ‘ 50000182078435 oo arex debit . auth code c685 ome promotions may reduce the refund value of items * ashmaagbnadcnuba ainda achocnanater _ we feedback! take quick eurvey enter chance “ to win $250 store gift card . go » wyfakestore . com/win * 6 wimers monthiy * cashier jorn doe store 123 _ pos 008 transact ion2529 sunday, february 13, 2022 1228 . am"
receipt,"the aiml store 1234 somewhere rd poway, california 92129 02/13/2022 1228 am a) auseabolueseue aana eco 9638102381829961~2390981 nite ize sep10020186 $1 $19.02 biner plastic nfl new orleane saints 1 $17.9 silicone etekcity professional 1 $20.63 lightweight wired over subtotal 906.55 “ t= ca tax 7.7500 71541 $4.01 total $7 . 6a 1878 diner charge $71.41 ad 800006 18474025 diner debit auth code bac ‘ some . promotions may reduce . the refund value of items joe iii iori ih ier fir ioit ir is, we feedback! take quick survey enter chance to hin $250 store gift card . go myfakestore . com/win 75 winners monthl * ficci ik iiia iris iita ion cashier john doe store 123 pos 063 trangact ion2629 sunday, february 18, 2022 1228 am"
bank statement,"page 1 0f5 03/02/2022 pc — 1090001004290 gs anycompany bank 999999999 16769 3 c001 11 s 66 002 liu jie 21294 bergnaum groves, torpmouth, me 68998 your consolidated statement contact do digital banking bank leave home check account balances, make transfers, pay bills deposit checks mobile device . if enrolled digital banking, lakes minute gel started today . com/u . example bank, member fdic . to learn, visit example.com/abcxyz 2020 anycompany bank . if traveling usa concems accessing account traveling, contact branch banker call 858lll0104 summary accounts account number account name details on page1 checking ing money market savings accou ~ $1,039.63 638781389836 checking money market savings accounts = checking 006387813898 account summary your previou f 03/02/2022 ‘ checks other w $1,022.86 7 deposits, credits interest __ your balance 06/17/2020 average posted balance statement cycle $4,931.34 checks date check #amount ($) date check #amount (8) 05726 1401 401.39 o6i 985026 . 00 * indicates skip seq! total checks = $701.39 page 1 1 0000667"
invoice,"anycompany wholesales date may 14, 2020 suite 643 73129 stephen plain invoice #560708130 east shadmouth ct 142820681 customer id 8436 phone (858) 5550101 due date may 29, 2020 bill to zhang wei 8940 tyrone throughway, altenwerthmouth oregon 81811 zhang.weiexample.com description amount iphone 6/6s card holder case, $17.92 bormioli rocco hermetic seal glass $33.09 jexon usb otg connection kit $13.29 iphone 8 case, iphone 7 case, $14.59 total $78.89 other comments total payment due 30 days if paying check, include invoice number check if questions invoice, contact phone (858) 5550101 email invoice_inquiryexample.com thank you for your business!!"
